ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD, PRIMERA_PRIORIDAD , SEGUNDA_PRIORIDAD , TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_BASICA_2021,IVE_SINAE_BASICA
13512,7,COLEGIO JOAQUIN VICUÐA LARRAIN,Región de Coquimbo,Elqui,Vicuña,Municipal DAEM,Urbano,212,5,4,14,11,246,90
13513,5,COLEGIO DALMACIA,Región de Coquimbo,Limarí,Ovalle,Particular Subvencionado,Urbano,438,9,54,49,1,551,91
13514,3,COLEGIO MARIA DE ANDACOLLO,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,270,11,25,30,1,337,91
13518,6,COLEGIO ARAUCO,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,230,4,29,21,,284,93
13535,6,COLEGIO CERRO GRANDE,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Urbano,288,4,36,151,1,480,68
13539,9,ESCUELA LATINOAMERICA EDUCA,Región de Coquimbo,Elqui,Coquimbo,Particular Subvencionado,Urbano,424,16,24,35,2,501,93
13542,9,COLEGIO IRMA SALAS SILVA,Región de Coquimbo,Limarí,Punitaqui,Particular Subvencionado,Urbano,233,2,20,35,,290,88
13545,3,ESCUELA BASICA SAN FRANCISCO DE BORJA,Región de Coquimbo,Limarí,Combarbalá,Particular Subvencionado,Urbano,149,3,10,14,1,177,92
13551,8,COLEGIO MANANTIAL,Región de Coquimbo,Limarí,Ovalle,Particular Subvencionado,Urbano,484,21,47,50,1,603,92
13552,6,COLEGIO CRISTIANO LA SERENA,Región de Coquimbo,Elqui,La Serena,Particular Subvencionado,Urbano,153,7,30,38,6,234,81
