ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,PRIMERA_PRIORIDAD ,SEGUNDA_PRIORIDAD ,TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_MEDIA_2021 ,IVE_SINAE_MEDIA
2737,5,COLEGIO POLIVALENTE JAPÓN,Región del Maule,Curicó,Curicó,Municipal DAEM,Urbano,58,3,,,,61,100
2782,0,COLEGIO SAN RAMON NONATO,Región del Maule,Curicó,Curicó,Particular Subvencionado,Urbano,271,4,56,160,,491,67
2785,5,C.EDUC.MONS.MANUEL LARRAIN ERRAZURIZ.,Región del Maule,Curicó,Curicó,Particular Subvencionado,Urbano,45,1,13,79,3,141,42
2787,1,COLEGIO SANTO TOMAS DE CURICO,Región del Maule,Curicó,Curicó,Particular Subvencionado,Urbano,88,,33,115,1,237,51
2793,6,INSTITUTO POLITECNICO BICENTENARIO JUAN TERRIER DAILLY,Región del Maule,Curicó,Curicó,Administración Delegada (C. P. 3166),Urbano,1.045,47,66,59,4,1.221,95
2794,4,LICEO TENO,Región del Maule,Curicó,Teno,Municipal DAEM,Urbano,318,11,16,20,5,370,93
2835,5,LICEO POLIVALENTE DE MOLINA,Región del Maule,Curicó,Molina,Municipal DAEM,Urbano,352,9,25,16,3,405,95
2836,3,LICEO JUAN AGUSTIN MORALES GONZALEZ,Región del Maule,Curicó,Molina,Municipal DAEM,Urbano,234,11,16,6,3,270,97
2863,0,COLEGIO ADVENTISTA DE MOLINA,Región del Maule,Curicó,Molina,Particular Subvencionado,Urbano,112,9,22,28,,171,84
2865,7,ESCUELA AGRICOLA SUPERIOR DE MOLINA,Región del Maule,Curicó,Molina,Administración Delegada (C. P. 3166),Urbano,294,7,30,30,,361,92
2882,7,LICEO BICENTENARIO HUALAÑE,Región del Maule,Curicó,Hualañé,Municipal DAEM,Urbano,400,1,27,34,1,463,92
2896,7,LICEO AUGUSTO SANTELICES VALENZUELA,Región del Maule,Curicó,Licantén,Municipal DAEM,Urbano,175,3,21,35,,234,85
2908,4,ESCUELA ALEJANDRO ROJAS SIERRA,Región del Maule,Curicó,Licantén,Municipal DAEM,Rural,58,1,,2,,61,97
2909,2,LICEO NUEVO HORIZONTE,Región del Maule,Curicó,Vichuquén,Municipal DAEM,Urbano,54,,1,8,2,65,85
2910,6,ESCUELA ENTRE AGUAS DE LLICO,Región del Maule,Curicó,Vichuquén,Municipal DAEM,Rural,74,,6,1,,81,99
2930,0,LICEO DE CULTURA Y DIFUSION ARTISTICA,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,170,,29,49,2,250,80
2934,3,LICEO TECNICO AMELIA COURBIS,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,950,6,71,56,2,1.085,95
2935,1,LICEO MARTA DONOSO ESPEJO,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,964,15,138,164,4,1.285,87
2937,8,LICEO INDUSTRIAL SUPERIOR,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,557,10,43,21,2,633,96
2938,6,INST.SUP.DE COMERCIO ENRIQUE MALDONADO S,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,1.045,27,103,84,5,1.264,93
2939,4,LICEO DIEGO PORTALES,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,193,1,23,22,9,248,88
2940,8,LICEO CARLOS CONDELL,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,83,3,6,8,9,109,84
2943,2,LICEO HECTOR PEREZ BIOTT,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,66,,2,3,3,74,92
2973,4,LICEO ABATE MOLINA,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,1.148,8,214,387,,1.757,78
2974,2,LICEO IGNACIO CARRERA PINTO,Región del Maule,Talca,Talca,Municipal DAEM,Urbano,33,1,3,3,1,41,90
2979,3,ESCUELA EL SAUCE,Región del Maule,Talca,Talca,Municipal DAEM,Rural,89,1,6,3,,99,97
2991,2,COLEGIO MONSENOR MANUEL LARRAIN,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,168,2,31,85,,286,70
2992,0,COLEGIO INTEGRADO SAN PIO X SECTOR PTE.,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,187,4,49,184,2,426,56
2995,5,INSTITUTO ANDRES BELLO,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,338,2,60,136,1,537,74
2997,1,COLEGIO DARIO SALAS,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,106,3,20,8,9,146,88
3003,1,COLEGIO PIAGET,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,83,2,1,1,2,89,97
3005,8,LICEO SANTA TERESITA,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,225,7,54,64,,350,82
3006,6,CENTRO EDUCATIVO SALESIANOS TALCA,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,944,13,151,138,1,1.247,89
3010,4,COLEGIO SAN FRANCISCO DE ASIS,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,73,1,11,13,3,101,84
3013,9,COLEGIO JUAN IGNACIO MOLINA,Región del Maule,Talca,Talca,Particular Subvencionado,Urbano,320,3,44,73,5,445,82
3016,3,LICEO DE PELARCO,Región del Maule,Talca,Pelarco,Municipal DAEM,Urbano,151,1,6,3,,161,98
3033,3,LICEO AGROINDUSTRIAL RIO CLARO,Región del Maule,Talca,Río Claro,Municipal DAEM,Urbano,191,1,15,7,,214,97
3055,4,LICEO SAN CLEMENTE ENTRE RIOS,Región del Maule,Talca,San Clemente,Municipal DAEM,Urbano,494,3,27,18,3,545,96
3059,7,ESCUELA DEIDAMIA PAREDES BELLO,Región del Maule,Talca,San Clemente,Municipal DAEM,Rural,89,,6,8,,103,92
3108,9,COLEGIO PAULA MONTAL,Región del Maule,Talca,San Clemente,Particular Subvencionado,Urbano,128,5,13,30,,176,83
3110,0,COMPLEJO EDUCACIONAL MAULE,Región del Maule,Talca,Maule,Municipal DAEM,Urbano,105,,7,7,2,121,93
3126,7,LICEO TECNICO AGRICOLA MARIA AUXILIADORA,Región del Maule,Talca,Maule,Particular Subvencionado,Rural,239,3,10,6,,258,98
3127,5,ESCUELA AGRICOLA SAN JOSE DE DUAO,Región del Maule,Talca,Maule,Administración Delegada (C. P. 3166),Urbano,314,3,26,43,1,387,89
3128,3,LICEO SAN IGNACIO,Región del Maule,Talca,Empedrado,Municipal DAEM,Urbano,123,8,8,7,,146,95
3138,0,COMPLEJO EDUCACIONAL PENCAHUE,Región del Maule,Talca,Pencahue,Municipal DAEM,Urbano,89,,1,5,,95,95
3163,1,INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ,Región del Maule,Talca,Constitución,Administración Delegada (C. P. 3166),Urbano,582,13,51,41,,687,94
3165,8,LICEO CONSTITUCION,Región del Maule,Talca,Constitución,Municipal DAEM,Urbano,428,20,32,39,1,520,92
3172,0,LICEO TECNICO PROFESIONAL PUTU,Región del Maule,Talca,Constitución,Municipal DAEM,Rural,179,2,7,7,,195,96
3173,9,LICEO RURAL ENRIQUE MAC IVER,Región del Maule,Talca,Constitución,Municipal DAEM,Rural,149,3,9,5,,166,97
3202,6,COLEGIO SAN ALBERTO HURTADO,Región del Maule,Talca,Constitución,Particular Subvencionado,Urbano,254,3,61,112,1,431,74
3205,0,LICEO LUIS EDMUNDO CORREA ROJAS,Región del Maule,Talca,Curepto,Municipal DAEM,Urbano,258,3,20,23,,304,92
3209,3,ESCUELA ELENA ARMIJO MORALES,Región del Maule,Talca,Curepto,Municipal DAEM,Rural,32,,,3,,35,91
3247,6,LICEO VALENTIN LETELIER,Región del Maule,Linares,Linares,Municipal DAEM,Urbano,919,8,122,166,,1.215,86
3248,4,INSTITUTO COMERCIAL,Región del Maule,Linares,Linares,Municipal DAEM,Urbano,1.122,34,83,63,1,1.303,95
3252,2,LICEO TECNICO PROFESIONAL DIEGO PORTALES,Región del Maule,Linares,Linares,Municipal DAEM,Urbano,926,3,45,25,2,1.001,97
3290,5,LICEO MARIA AUXILIADORA,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,479,4,62,65,,610,89
3296,4,ESC.AGRIC.PART.SALESIANA DON BOSCO,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,698,10,102,78,,888,91
3298,0,LICEO NUESTRA SEÑORA DEL ROSARIO,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,170,4,36,132,,342,61
3300,6,INSTITUTO LINARES,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,118,1,41,200,1,361,44
3302,2,COLEGIO LA PROVIDENCIA,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,177,8,21,38,1,245,84
3303,0,COLEGIO AMELIA TRONCOSO,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,193,6,32,57,,288,80
3304,9,COLEGIO SAN MIGUEL ARCANGEL,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,161,,32,23,,216,89
3305,7,LICEO POLITECNICO DE LINARES,Región del Maule,Linares,Linares,Municipal DAEM,Urbano,508,11,14,7,3,543,98
3308,1,COLEGIO CONCEPCION LINARES,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,69,3,18,62,1,153,59
3311,1,ESCUELA LUCILA GODOY,Región del Maule,Linares,Linares,Particular Subvencionado,Urbano,115,1,20,47,,183,74
3313,8,LICEO JUAN DE DIOS PUGA,Región del Maule,Linares,Yerbas Buenas,Municipal DAEM,Urbano,130,,10,5,,145,97
3317,0,LICEO JUAN GOMEZ MILLAS,Región del Maule,Linares,Yerbas Buenas,Municipal DAEM,Rural,54,,2,2,,58,97
3327,8,ESCUELA AGRICOLA MARTA MARTINEZ CRUZ,Región del Maule,Linares,Yerbas Buenas,Administración Delegada (C. P. 3166),Urbano,219,2,22,7,1,251,97
3328,6,LICEO CAPITAN IGNACIO CARRERA PINTO,Región del Maule,Linares,Colbún,Municipal DAEM,Urbano,491,12,22,20,,545,96
3348,0,LICEO ARTURO ALESSANDRI PALMA,Región del Maule,Linares,Longaví,Municipal DAEM,Urbano,411,8,26,9,,454,98
3359,6,LICEO LAURA URRUTIA BENAVENTE,Región del Maule,Linares,Longaví,Municipal DAEM,Rural,53,1,1,2,,57,96
3387,1,LICEO FEDERICO HEISE MARTI,Región del Maule,Linares,Parral,Municipal DAEM,Urbano,568,5,19,20,,612,97
3400,2,COLEGIO ALBERTO MOLINA CASTILLO,Región del Maule,Linares,Parral,Municipal DAEM,Rural,96,,2,3,,101,97
3430,4,INSTITUTO PARRAL,Región del Maule,Linares,Parral,Particular Subvencionado,Urbano,112,10,10,24,,156,85
3431,2,COLEGIO SAN JOSE,Región del Maule,Linares,Parral,Particular Subvencionado,Urbano,217,,48,78,,343,77
3432,0,COLEGIO PARTICULAR PROVIDENCIA,Región del Maule,Linares,Parral,Particular Subvencionado,Urbano,304,,47,61,,412,85
3433,9,COLEGIO CONCEPCION DE PARRAL,Región del Maule,Linares,Parral,Particular Subvencionado,Urbano,70,,22,91,,183,50
3434,7,LICEO GUILLERMO MARIN LARRAIN,Región del Maule,Linares,Retiro,Municipal DAEM,Urbano,644,18,45,20,,727,97
3442,8,COLEGIO AJIAL,Región del Maule,Linares,Retiro,Municipal DAEM,Rural,63,1,5,2,,71,97
3443,6,COLEGIO ROBINSON CABRERA BELTRAN,Región del Maule,Linares,Retiro,Municipal DAEM,Rural,80,,5,,,85,100
3460,6,COLEGIO POLIVALENTE LAS CAMELIAS,Región del Maule,Linares,Retiro,Particular Subvencionado,Rural,200,1,16,13,,230,94
3461,4,LICEO FRANCISCO ANTONIO ENCINA ARMANET,Región del Maule,Linares,Villa Alegre,Municipal DAEM,Urbano,161,6,5,3,,175,98
3478,9,ESCUELA AGRICOLA SAGRADOS CORAZONES,Región del Maule,Linares,Villa Alegre,Particular Subvencionado,Rural,132,2,8,,,142,100
3479,7,LICEO MANUEL MONTT,Región del Maule,Linares,San Javier,Municipal DAEM,Urbano,1.177,8,71,58,1,1.315,96
3530,0,COLEGIO PARTICULAR SAN JOSE,Región del Maule,Linares,San Javier,Particular Subvencionado,Urbano,233,10,34,28,,305,91
3531,9,INSTITUTO REGIONAL DEL MAULE,Región del Maule,Linares,San Javier,Particular Subvencionado,Urbano,165,1,35,116,,317,63
3533,5,LICEO SAGRADOS CORAZONES,Región del Maule,Linares,San Javier,Particular Subvencionado,Urbano,249,3,44,57,,353,84
3538,6,LICEO ANTONIO VARAS,Región del Maule,Cauquenes,Cauquenes,Municipal DAEM,Urbano,340,4,23,27,,394,93
3539,4,LICEO CLAUDINA URRUTIA DE LAVIN,Región del Maule,Cauquenes,Cauquenes,Municipal DAEM,Urbano,614,8,59,74,1,756,90
3540,8,LICEO POLITECNICO PEDRO AGUIRRE CERDA,Región del Maule,Cauquenes,Cauquenes,Municipal DAEM,Urbano,532,3,28,11,,574,98
3608,0,LICEO INMACULADA CONCEPCION,Región del Maule,Cauquenes,Cauquenes,Particular Subvencionado,Urbano,134,,24,126,,284,56
3609,9,LICEO PELLUHUE,Región del Maule,Cauquenes,Pelluhue,Municipal DAEM,Urbano,342,5,27,26,2,402,93
3618,8,LICEO FEDERICO ALBERT FAUPP,Región del Maule,Cauquenes,Chanco,Municipal DAEM,Urbano,231,4,11,7,1,254,97
3638,2,LICEO BICENTENARIO MARTA BRUNET CÁRAVES,Región de Ñuble,Diguillín,Chillán,Municipal DAEM,Urbano,672,6,73,71,8,830,90
3639,0,LICEO NARCISO TONDREAU,Región de Ñuble,Diguillín,Chillán,Municipal DAEM,Urbano,225,8,17,22,1,273,92
3640,4,INSTITUTO SUPERIOR DE COMERCIO PROFESOR FERNANDO PÉREZ BECERRA,Región de Ñuble,Diguillín,Chillán,Administración Delegada (C. P. 3166),Urbano,743,13,50,40,4,850,95
3641,2,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN,Región de Ñuble,Diguillín,Chillán,Administración Delegada (C. P. 3166),Urbano,502,3,27,18,1,551,97
3642,0,INSTITUTO TÉCNICO MABEL CONDEMARÍN GRIMBERG,Región de Ñuble,Diguillín,Chillán,Administración Delegada (C. P. 3166),Urbano,375,6,17,9,2,409,97
3643,9,LICEO MARTIN RUIZ DE GAMBOA,Región de Ñuble,Diguillín,Chillán,Municipal DAEM,Urbano,60,,2,,,62,100
3656,0,LICEO POLIVALENTE JUAN PACHECO ALTAMIRANO,Región de Ñuble,Diguillín,Chillán Viejo,Municipal DAEM,Urbano,121,,9,3,1,134,97
3657,9,LICEO LIBERTADOR BERNARDO O´HIGGINS RIQUELME,Región de Ñuble,Diguillín,Chillán,Municipal DAEM,Urbano,119,1,7,3,2,132,96
3662,5,LICEO REPÚBLICA DE ITALIA ARTURO BONOMETTI BROGI,Región de Ñuble,Diguillín,Chillán,Municipal DAEM,Urbano,129,8,12,8,2,159,94
3711,7,COLEGIO DE LA PURISIMA CONCEPCION,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,205,1,23,62,1,292,78
3713,3,COLEGIO SEMINARIO PADRE ALBERTO HURTADO,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,192,4,55,411,8,670,37
3718,4,INSTITUTO SANTA MARIA,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,147,,48,265,3,463,42
3719,2,COLEGIO COYAM,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,164,,24,18,1,207,91
3723,0,COLEGIO DARIO SALAS,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,198,2,25,24,1,250,90
3724,9,COLEGIO SAN VICENTE DE PAUL,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,177,,51,119,,347,66
3728,1,COLEGIO SAN BUENAVENTURA,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,99,3,17,53,,172,69
3730,3,COLEGIO SAGRADO CORAZÓN DE JESÚS,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,120,,22,22,,164,87
3733,8,COLEGIO GABRIELA MISTRAL,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,92,1,4,4,,101,96
3735,4,COLEGIO CHILLAN,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Urbano,299,5,40,74,1,419,82
3739,7,LICEO AGRÍCOLA DE CHILLÁN A-8,Región de Ñuble,Diguillín,Chillán,Administración Delegada (C. P. 3166),Urbano,285,1,12,8,,306,97
3742,7,LICEO POLITECNICO CAP. IGNACIO CARRERA P,Región de Ñuble,Punilla,San Carlos,Municipal DAEM,Urbano,590,6,25,20,2,643,97
3743,5,LICEO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS,Región de Ñuble,Punilla,San Carlos,Municipal DAEM,Urbano,216,,6,17,,239,93
3795,8,INSTITUTO SANTA MARIA DE SAN CARLOS,Región de Ñuble,Punilla,San Carlos,Particular Subvencionado,Urbano,142,2,25,102,,271,62
3796,6,LICEO BICENTENARIO POLIVALENTE NUESTRA SEÑORA DE LA MERCED,Región de Ñuble,Punilla,San Carlos,Particular Subvencionado,Urbano,387,2,41,47,1,478,90
3797,4,COLEGIO SAGRADO CORAZON DE JESUS,Región de Ñuble,Punilla,San Carlos,Particular Subvencionado,Urbano,399,6,31,54,,490,89
3800,8,LICEO TIUQUILEMU,Región de Ñuble,Punilla,Ñiquén,Municipal DAEM,Rural,61,,4,,,65,100
3802,4,LICEO SAN GREGORIO,Región de Ñuble,Punilla,Ñiquén,Municipal DAEM,Urbano,207,,10,3,,220,99
3823,7,LICEO BICENTENARIO POLIVALENTE JORGE ALESSANDRI RODRIGUEZ,Región de Ñuble,Punilla,San Fabián,Municipal DAEM,Urbano,206,1,10,11,,228,95
3865,2,COLEGIO ADVENTISTA DE CHILE,Región de Ñuble,Diguillín,Chillán,Particular Subvencionado,Rural,439,21,66,137,1,664,79
3871,7,LICEO BICENTENARIO POLITÉCNICO JOSÉ MANUEL PINTO ARIAS,Región de Ñuble,Diguillín,Pinto,Municipal DAEM,Urbano,340,4,12,6,1,363,98
3885,7,COLEGIO FRANCISCO DE ASIS,Región de Ñuble,Diguillín,Pinto,Particular Subvencionado,Urbano,246,,16,18,1,281,93
3886,5,LICEO BICENTENARIO MANUEL JESUS ORTIZ,Región de Ñuble,Diguillín,San Ignacio,Municipal DAEM,Urbano,137,1,2,2,,142,99
3887,3,LICEO PUEBLO SECO,Región de Ñuble,Diguillín,San Ignacio,Municipal DAEM,Rural,154,,8,6,,168,96
3888,1,COLEGIO POLITECNICO VICTOR JARA,Región de Ñuble,Diguillín,San Ignacio,Municipal DAEM,Rural,90,1,1,,,92,100
3907,1,LICEO POLITÉCNICO MARÍA WARD,Región de Ñuble,Diguillín,San Ignacio,Particular Subvencionado,Urbano,217,2,19,12,,250,95
3909,8,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE JUVENAL HERNÁNDEZ JAQUE,Región de Ñuble,Diguillín,El Carmen,Municipal DAEM,Urbano,650,3,41,43,,737,94
3940,3,LICEO DE YUNGAY,Región de Ñuble,Diguillín,Yungay,Municipal DAEM,Urbano,327,7,27,20,,381,95
3941,1,LICEO CAMPANARIO,Región de Ñuble,Diguillín,Yungay,Municipal DAEM,Urbano,133,5,8,8,1,155,94
3960,8,COLEGIO DIVINA PASTORA,Región de Ñuble,Diguillín,Yungay,Particular Subvencionado,Urbano,101,,17,50,,168,70
3961,6,LICEO POLIVALENTE TOMÁS ARNALDO HERRERA VEGA,Región de Ñuble,Diguillín,Pemuco,Municipal DAEM,Urbano,225,,2,6,,233,97
3976,4,LICEO MANUEL BULNES,Región de Ñuble,Diguillín,Bulnes,Municipal DAEM,Urbano,332,1,18,10,,361,97
3977,2,LICEO BICENTENARIO SANTA CRUZ DE LARQUI,Región de Ñuble,Diguillín,Bulnes,Municipal DAEM,Urbano,235,4,10,14,,263,95
3998,5,LICEO POLIVALENTE LUIS CRUZ MARTINEZ,Región de Ñuble,Diguillín,Quillón,Municipal DAEM,Urbano,322,4,8,9,,343,97
4025,8,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE VIRGINIO ARIAS,Región de Ñuble,Itata,Ranquil,Municipal DAEM,Urbano,228,2,13,13,,256,95
4032,0,LICEO BICENTENARIO DE EXCELENCIA NIBALDO SEPÚLVEDA FERNÁNDEZ,Región de Ñuble,Itata,Portezuelo,Municipal DAEM,Urbano,126,,2,5,,133,96
4043,6,COLEGIO NUESTRA SEÑORA DEL CARMEN,Región de Ñuble,Itata,Portezuelo,Particular Subvencionado,Urbano,88,,4,3,,95,97
4049,5,LICEO BICENTENARIO DE EXCELENCIA DOMINGO ORTÍZ DE ROZAS,Región de Ñuble,Itata,Coelemu,Municipal DAEM,Urbano,612,4,90,76,3,785,90
4052,5,ESCUELA GUARILIHUE ALTO,Región de Ñuble,Itata,Coelemu,Municipal DAEM,Rural,55,,7,5,,67,93
4084,3,LICEO POLIVALENTE DIEGO MISSENE BURGOS,Región de Ñuble,Itata,Cobquecura,Municipal DAEM,Urbano,111,,3,4,2,120,95
4102,5,LICEO BICENTENARIO DE EXCELENCIA CARLOS MONTANE CASTRO,Región de Ñuble,Itata,Quirihue,Municipal DAEM,Urbano,513,2,22,32,,569,94
4124,6,LICEO BICENTENARIO DE EXCELENCIA ARTURO PRAT CHACON,Región de Ñuble,Itata,Ninhue,Municipal DAEM,Urbano,204,,6,11,,221,95
4140,8,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLÁS,Región de Ñuble,Punilla,San Nicolás,Municipal DAEM,Urbano,836,1,115,168,1,1.121,85
4141,6,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PUENTE ÑUBLE,Región de Ñuble,Punilla,San Nicolás,Municipal DAEM,Rural,138,1,8,10,,157,94
4160,2,LICEO COMERCIAL CAMILO HENRIQUEZ,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Urbano,409,3,20,15,4,451,96
4162,9,LICEO COMERCIAL DIEGO PORTALES PALAZUELO,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Urbano,1.141,20,117,94,4,1.376,93
4163,7,LICEO BICENTENARIO LOS ÁNGELES,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Urbano,752,9,167,190,2,1.120,83
4164,5,LICEO COEDUCACIONAL SANTA MARÍA DE LOS ÁNGELES,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Urbano,777,21,132,122,3,1.055,88
4165,3,LICEO INDUSTRIAL SAMUEL VIVANCO PARADA,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Urbano,699,15,38,25,1,778,97
4166,1,LICEO TECNICO BICENTENARIO JUANITA FERNANDEZ SOLAR,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Urbano,785,11,54,33,1,884,96
4190,4,LICEO SANTA FE,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Rural,130,1,9,10,,150,93
4195,5,LICEO AGROINDUSTRIAL LLANO BLANCO,Región del Biobío,Biobío,Los Ángeles,Municipal DAEM,Rural,108,1,9,3,,121,98
4262,5,COLEGIO PARTICULAR MARTA BRUNET,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Urbano,199,12,27,28,3,269,88
4263,3,COLEGIO SAN RAFAEL ARCANGEL,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Urbano,299,3,74,164,1,541,70
4269,2,COLEGIO HISPANOAMERICANO,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Urbano,221,2,32,28,2,285,89
4270,6,LICEO PARTICULAR CARLOS CONDELL,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Urbano,115,4,6,7,5,137,91
4277,3,CENTRO EDUCACIÓN ADVENTISTA LOS ÁNGELES,Región del Biobío,Biobío,Los Ángeles,Particular Subvencionado,Rural,795,67,53,153,1,1.069,86
4287,0,LICEO AGRÍCOLA Y FORESTAL EL HUERTÓN,Región del Biobío,Biobío,Los Ángeles,Administración Delegada (C. P. 3166),Urbano,535,3,53,32,1,624,95
4288,9,LICEO BICENTENARIO POLITÉCNICO MONTE ÁGUILA,Región del Biobío,Biobío,Cabrero,Municipal DAEM,Urbano,538,5,57,33,3,636,94
4289,7,LICEO MANUEL ARÍSTIDES ZAÑARTU,Región del Biobío,Biobío,Cabrero,Municipal DAEM,Urbano,442,2,74,49,,567,91
4292,7,ESCUELA SALTO EL LAJA,Región del Biobío,Biobío,Cabrero,Municipal DAEM,Rural,58,,5,10,,73,86
4307,9,COLEGIO SAN JOSE,Región del Biobío,Biobío,Cabrero,Particular Subvencionado,Urbano,228,1,47,100,1,377,73
4309,5,LICEO DE HUEPIL,Región del Biobío,Biobío,Tucapel,Municipal DAEM,Urbano,279,,17,18,1,315,94
4310,9,LICEO ANDRÉS ALCÁZAR DE TUCAPEL,Región del Biobío,Biobío,Tucapel,Municipal DAEM,Urbano,77,,5,3,,85,96
4324,9,LICEO DOCTOR VÍCTOR RÍOS RUIZ,Región del Biobío,Biobío,Antuco,Municipal DAEM,Urbano,165,1,13,25,2,206,87
4331,1,LICEO BICENTENARIO FRANCISCO BASCUNAN GUERRERO,Región del Biobío,Biobío,Quilleco,Municipal DAEM,Urbano,160,,13,18,,191,91
4333,8,LICEO ISABEL RIQUELME,Región del Biobío,Biobío,Quilleco,Municipal DAEM,Urbano,93,2,10,6,,111,95
4353,2,LICEO CARDENAL ANTONIO SAMORE,Región del Biobío,Biobío,Santa Bárbara,Municipal DAEM,Urbano,308,3,16,19,,346,95
4382,6,COLEGIO SANTA BARBARA,Región del Biobío,Biobío,Santa Bárbara,Particular Subvencionado,Urbano,141,3,10,22,1,177,87
4392,3,LICEO BICENTENARIO VALLE DEL SOL QUILACO,Región del Biobío,Biobío,Quilaco,Municipal DAEM,Urbano,81,,5,6,2,94,91
4404,0,LICEO MIGUEL ÁNGEL CERDA LEIVA,Región del Biobío,Biobío,Mulchén,Municipal DAEM,Urbano,492,21,66,85,,664,87
4408,3,LICEO CRISOL,Región del Biobío,Biobío,Mulchén,Municipal DAEM,Urbano,435,4,25,6,,470,99
4446,6,LICEO POLIVALENTE LA FRONTERA,Región del Biobío,Biobío,Negrete,Municipal DAEM,Urbano,284,2,19,14,,319,96
4451,2,LICEO POLIVALENTE MUNICIPAL DE NACIMIENTO,Región del Biobío,Biobío,Nacimiento,Municipal DAEM,Urbano,706,9,94,100,2,911,89
4483,0,LICEO BICENTENARIO POLITECNICO HEROES DE LA CONCEPCIÓN,Región del Biobío,Biobío,Laja,Municipal DAEM,Urbano,850,7,92,156,,1.105,86
4500,4,LICEO ISIDORA AGUIRRE TUPPER,Región del Biobío,Biobío,San Rosendo,Municipal DAEM,Urbano,83,1,9,14,,107,87
4505,5,LICEO PADRE LUIS ALBERTO SALDES IRARRAZABAL,Región del Biobío,Biobío,Yumbel,Municipal DAEM,Urbano,214,4,18,18,,254,93
4507,1,LICEO TÉCNICO PROFESIONAL GONZALO GUGLIELMI MONTIEL,Región del Biobío,Biobío,Yumbel,Municipal DAEM,Urbano,130,2,9,5,,146,97
4509,8,LICEO MUNICIPAL RIO CLARO,Región del Biobío,Biobío,Yumbel,Municipal DAEM,Rural,73,,6,1,,80,99
4530,6,INSTITUTO SAN SEBASTIÁN BÁSICO.,Región del Biobío,Biobío,Yumbel,Particular Subvencionado,Urbano,218,1,38,61,,318,81
4531,4,COLEGIO MARINA DE CHILE,Región del Biobío,Concepción,Concepción,Servicio Local de Educación(SLE),Urbano,390,8,41,71,2,512,86
