ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_REGION_ESTABLE,DS_PROVINCIA_ESTABLE,DS_COMUNA_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,PRIMERA_PRIORIDAD ,SEGUNDA_PRIORIDAD ,TERCERA_PRIORIDAD ,NO_PRIORIZADO_EN_VULNERABILIDAD ,SIN_INFORMACION ,TOTAL_MATRICULA_MEDIA_2021 ,IVE_SINAE_MEDIA
1588,1,COLEGIO NTRA.SRA.DE LA MISERICORDIA,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,106,,15,29,,150,81
1590,3,COLEGIO SALESIANO VALPARAISO,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,668,13,89,182,2,954,81
1594,6,COLEGIO SAN DAMIAN DE MOLOKAI,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,118,3,12,14,,147,90
1604,7,COLEGIO LEONARDO MURIALDO,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,229,1,47,48,1,326,85
1607,1,COLEGIO TERESITA DE LISIEUX,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,95,,15,10,1,121,91
1610,1,COLEGIO ALBERTO HURTADO SEGUNDO,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,156,1,17,7,,181,96
1619,5,COLEGIO PARTICULAR JUNIOR SCHOOL 2,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,110,1,5,11,1,128,91
1632,2,COL. IDA.CONCEPC. NTRA.SRA.LOURDES,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,111,1,20,35,,167,79
1635,7,COLEGIO AGUSTIN EDWARDS,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,58,5,22,40,,125,68
1653,5,COLEGIO SAN VICENTE,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,78,8,17,33,2,138,75
1657,8,COLEGIO PRESB. DAVID TRUMBULL,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,60,4,17,42,2,125,65
1663,2,INSTITUTO SUPERIOR DE COMERCIO ALBERTO BL,Región de Valparaíso,Valparaíso,Viña del Mar,Administración Delegada (C. P. 3166),Urbano,436,9,18,37,7,507,91
1664,0,LICEO INDUSTRIAL MIRAFLORES ALTO,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,282,13,14,12,5,326,95
1672,1,LICEO BICENTENARIO JOSÉ FRANCISCO VERGARA ETCHEVERS,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,159,9,12,19,9,208,87
1674,8,LICEO BENJAMIN VICUNA MACKENNA,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,249,6,11,16,6,288,92
1675,6,LICEO GUILLERMO RIVERA COTAPOS,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,207,2,16,39,32,296,76
1676,4,LICEO BICENTENARIO DE VIÑA DEL MAR,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,557,16,59,78,11,721,88
1681,0,COLEGIO REPUBLICA DE COLOMBIA,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,183,6,11,19,10,229,87
1685,3,ESCUELA DR. OSCAR MARIN SOCIAS,Región de Valparaíso,Valparaíso,Viña del Mar,Corporación Municipal,Urbano,90,,3,7,3,103,90
1734,5,COLEGIO RUBEN CASTRO-DIURNO,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,132,,33,135,,300,55
1735,3,LICEO PARROQUIAL SAN ANTONIO,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,267,2,70,159,,498,68
1738,8,LICEO NUESTRA SRA.DE LA PAZ,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,187,17,25,67,,296,77
1739,6,ESC. DE TRIPULANTES Y PORTUARIA DE VALPARAISO,Región de Valparaíso,Valparaíso,Valparaíso,Particular Subvencionado,Urbano,508,8,34,22,,572,96
1741,8,LICEO SANTA TERESA DE LOS ANDES,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,115,1,17,22,,155,86
1742,6,COLEGIO SAN AGUSTIN,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,102,3,15,12,1,133,90
1743,4,COL.PARROQUIAL SANTA MARIA GORETTI,Región de Valparaíso,Valparaíso,Concón,Particular Subvencionado,Urbano,158,5,19,39,1,222,82
1747,7,LICEO JOSE CORTES BROWN,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,288,7,50,87,,432,80
1749,3,COLEGIO EXCMO. CARDENAL RAUL SILVA HENRIQUEZ,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,202,1,46,34,,283,88
1750,7,COL. INMACULADA DE LOURDES,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,93,3,22,48,,166,71
1755,8,COLEGIO ANA MARIA JANER,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,278,6,50,65,,399,84
1756,6,COLEGIO CLAUDIO MATTE,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,210,,31,37,3,281,86
1757,4,COLEGIO ACONCAGUA,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,319,5,95,406,10,835,50
1761,2,COLEGIO FRIENDLY HIGH SCHOOL,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,76,10,17,28,,131,79
1769,8,COLEGIO RAYEN CAVEN,Región de Valparaíso,Valparaíso,Concón,Particular Subvencionado,Urbano,74,,19,36,1,130,72
1795,7,COLEGIO SAN IGNACIO,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,74,2,35,115,8,234,47
1801,5,COLEGIO MARIA AUXILIADORA,Región de Valparaíso,Valparaíso,Viña del Mar,Particular Subvencionado,Urbano,82,15,21,109,2,229,52
1851,1,LICEO POLITECNICO QUINTERO,Región de Valparaíso,Valparaíso,Quintero,Municipal DAEM,Urbano,200,2,15,9,3,229,95
1858,9,COLEGIO DON ORIONE,Región de Valparaíso,Valparaíso,Quintero,Particular Subvencionado,Urbano,399,5,42,64,1,511,87
1859,7,COLEGIO SANTA FILOMENA,Región de Valparaíso,Valparaíso,Quintero,Particular Subvencionado,Urbano,101,1,17,32,,151,79
1860,0,COLEGIO INGLES,Región de Valparaíso,Valparaíso,Quintero,Particular Subvencionado,Urbano,231,8,9,24,2,274,91
1863,5,COLEGIO GENERAL JOSE VELASQUEZ BORQUEZ,Región de Valparaíso,Valparaíso,Puchuncaví,Municipal DAEM,Urbano,222,3,26,21,3,275,91
1864,3,COMPLEJO EDUCACIONAL SARGENTO ALDEA,Región de Valparaíso,Valparaíso,Puchuncaví,Municipal DAEM,Urbano,275,6,19,28,2,330,91
1880,5,COLEGIO INDUSTRIAL ANDRES BELLO LOPEZ,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,233,8,10,6,3,260,97
1881,3,COLEGIO LUIS CRUZ MARTÍNEZ,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,122,,10,13,1,146,90
1882,1,LICEO GUILLERMO GRONEMEYER ZAMORANO,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,273,6,26,50,2,357,85
1884,8,LICEO COMERCIAL ALEJANDRO LUBET V,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,299,6,26,31,13,375,88
1886,4,COLEGIO MANUEL BULNES PRIETO,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,76,2,8,15,,101,85
1887,2,ESCUELA GUARDIAMARINA GUILLERMO ZANARTU I.,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,160,,30,15,8,213,89
1889,9,COLEGIO FERNANDO DURAN VILLARREAL,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,64,1,10,10,2,87,86
1891,0,ESCUELA BASICA JORGE ROCK LARA,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,56,,1,3,,60,95
1895,3,LICEO TECNICO PROFESIONAL MANNHEIM,Región de Valparaíso,Marga Marga,Quilpué,Corporación Municipal,Urbano,133,5,8,10,4,160,91
1908,9,LICEO DE NINAS JAVIERA CARRERA,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,61,2,7,8,,78,90
1909,7,COLEGIO LIAHONA,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,201,11,61,175,1,449,61
1911,9,COLEGIO CREP,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,110,7,6,29,1,153,80
1918,6,COLEGIO LOS LEONES DE QUILPUE,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,178,5,37,45,1,266,83
1919,4,COLEGIO H. F. CAMILO HENRIQUEZ,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,62,,19,85,1,167,49
1923,2,COLEGIO CRISTIANO DE QUILPUE,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,234,12,34,32,2,314,89
1934,8,COLEGIO ESPERANZA,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,314,43,31,126,1,515,75
1941,0,COLEGIO EL BELLOTO,Región de Valparaíso,Marga Marga,Quilpué,Particular Subvencionado,Urbano,170,18,17,30,1,236,87
1958,5,LICEO TECNOLOGICO VILLA ALEMANA,Región de Valparaíso,Marga Marga,Villa Alemana,Corporación Municipal,Urbano,218,6,7,15,6,252,92
1959,3,WINDMILL COLLEGE,Región de Valparaíso,Marga Marga,Villa Alemana,Corporación Municipal,Urbano,113,3,14,14,1,145,90
1967,4,LICEO BICENTENARIO TÉCNICO PROFESIONAL MARY GRAHAM,Región de Valparaíso,Marga Marga,Villa Alemana,Corporación Municipal,Urbano,260,35,25,35,2,357,90
1969,0,COLEGIO CHARLES DARWIN,Región de Valparaíso,Marga Marga,Villa Alemana,Corporación Municipal,Urbano,141,4,8,11,1,165,93
1971,2,ESCUELA MANUEL MONTT,Región de Valparaíso,Marga Marga,Villa Alemana,Corporación Municipal,Urbano,127,1,10,10,1,149,93
1977,1,COLEGIO NACIONAL,Región de Valparaíso,Marga Marga,Villa Alemana,Particular Subvencionado,Urbano,344,4,66,189,1,604,69
1980,1,COLEGIO PARTICULAR JEAN PIAGET,Región de Valparaíso,Marga Marga,Villa Alemana,Particular Subvencionado,Urbano,107,1,24,23,4,159,83
1987,9,COLEGIO NUEVO CHILENO BRITANICO,Región de Valparaíso,Marga Marga,Villa Alemana,Particular Subvencionado,Urbano,80,3,12,7,,102,93
1996,8,LICEO MANUEL DE SALAS,Región de Valparaíso,Valparaíso,Casablanca,Municipal DAEM,Urbano,455,8,47,45,13,568,90
1997,6,ESCUELA DOMINGO ORTIZ DE ROZAS,Región de Valparaíso,Valparaíso,Casablanca,Municipal DAEM,Urbano,116,,16,18,,150,88
2007,9,COLEGIO PARTIC. JULIO MONTT SALAMANCA,Región de Valparaíso,Valparaíso,Casablanca,Particular Subvencionado,Urbano,77,1,11,21,,110,81
2009,5,COLEGIO INSULAR ROBINSON CRUSOE,Región de Valparaíso,Valparaíso,Juan Fernández,Servicio Local de Educación(SLE),Rural,26,,6,5,2,39,82
2012,5,PROFESOR JUAN DANTE PARRAGUEZ ARELLANO,Región de Valparaíso,San Antonio,San Antonio,Municipal DAEM,Urbano,226,8,9,6,1,250,97
2013,3,INST.COMERCIAL MARITIMO PACIFICO SUR,Región de Valparaíso,San Antonio,San Antonio,Municipal DAEM,Urbano,624,7,47,51,6,735,92
2018,4,ESCUELA MOVILIZADORES PORTUARIOS,Región de Valparaíso,San Antonio,San Antonio,Municipal DAEM,Urbano,175,7,9,23,5,219,87
2019,2,COLEGIO ESPANA,Región de Valparaíso,San Antonio,San Antonio,Municipal DAEM,Urbano,82,4,8,13,2,109,86
2035,4,COLEGIO AGRÍCOLA CUNCUMÉN GONZALO BARROS AMUNÁTEGUI,Región de Valparaíso,San Antonio,San Antonio,Municipal DAEM,Rural,36,2,7,5,1,51,88
2040,0,LICEO NACIONAL DE LLO LLEO,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,188,3,32,40,,263,85
2041,9,LICEO SANTA TERESITA DE LLOLLEO,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,126,2,22,22,,172,87
2042,7,INSTITUTO DEL PUERTO DE SAN ANTONIO,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,144,1,43,169,1,358,53
2043,5,INSTITUTO ERCILLA,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,118,1,8,5,1,133,95
2044,3,ESCUELA INDUSTRIAL SAN ANTONIO,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,651,11,44,49,2,757,93
2045,1,LICEO GABRIELA MISTRAL,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,58,,21,87,5,171,46
2047,8,COLEGIO PARTICULAR SARA CRUCHAGA,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,94,3,6,18,1,122,84
2049,4,COLEGIO FUND.EDUC. FERNANDEZ LEON,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,83,8,15,71,,177,60
2050,8,COLEGIO NUESTRA SENORA DE POMPEYA,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,109,1,6,9,2,127,91
2052,4,COLEGIO PROVIDENCIA,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,84,4,7,19,1,115,83
2055,9,COLEGIO EL RETIRO,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,108,,8,18,1,135,86
2057,5,ESCUELA PARTICULAR N. 33 MARIA KONIG,Región de Valparaíso,San Antonio,San Antonio,Particular Subvencionado,Urbano,20,1,1,1,,23,96
2064,8,LICEO POETA VICENTE HUIDOBRO,Región de Valparaíso,San Antonio,Cartagena,Municipal DAEM,Urbano,432,22,21,21,5,501,95
2066,4,LICEO EUGENIA SUBERCASEAUX,Región de Valparaíso,San Antonio,Cartagena,Municipal DAEM,Urbano,82,2,9,2,2,97,96
2075,3,COLEGIO EL TABO,Región de Valparaíso,San Antonio,El Tabo,Municipal DAEM,Urbano,247,2,22,16,1,288,94
2078,8,COMPLEJO EDUCACIONAL CLARA SOLOVERA,Región de Valparaíso,San Antonio,El Quisco,Municipal DAEM,Urbano,265,4,13,26,9,317,89
2084,2,COLEGIO CARLOS ALESSANDRI ALTAMIRANO,Región de Valparaíso,San Antonio,Algarrobo,Municipal DAEM,Urbano,341,11,38,26,13,429,91
2090,7,COLEGIO TERESA DE LOS ANDES-ALGARROBO,Región de Valparaíso,San Antonio,Algarrobo,Particular Subvencionado,Urbano,109,4,20,24,,157,85
2091,5,COLEGIO PEOPLE HELP PEOPLE,Región de Valparaíso,San Antonio,Santo Domingo,Municipal DAEM,Urbano,191,1,41,52,,285,82
2099,0,COLEGIO STO. DOMINGO HELEN LEE LASSEN,Región de Valparaíso,San Antonio,Santo Domingo,Particular Subvencionado,Urbano,95,7,18,23,,143,84
2102,4,LICEO TECNICO A-4,Región del Libertador Gral. Bernardo O’Higgins,Cachapoal,Rancagua,Administración Delegada (C. P. 3166),Urbano,610,28,56,32,3,729,95
